Unnamed: 0_level_0,[110],[2118],[2216],[2314],[2412],[25],[3117],[312115],[312213],[312311],[3214],[322112],[3222],[3311],[4116],[412114],[412212],[4123],[413113],[41312111],[4132],[4212],[4221],[5115],[512113],[512211],[513112],[513121],[514111],[52],[6114],[612112],[6122],[613111],[6141],[7113],[712111],[7131],[8112],[8121],[9111],[101]
#,1,45,630,3150,4725,945,240,5040,25200,25200,8400,50400,25200,22400,1260,18900,56700,18900,50400,151200,50400,56700,56700,6048,60480,90720,120960,120960,181440,72576,25200,151200,75600,201600,151200,86400,259200,172800,226800,226800,403200,362880
s[101],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s[9111],9,7,5,3,1,-1,6,4,2,0,3,1,-1,0,5,3,1,-1,2,0,-1,1,-1,4,2,0,1,-1,0,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1
s[8121],35,21,11,5,3,5,14,6,2,2,2,0,2,-1,9,3,1,3,0,0,0,-1,1,5,1,1,-1,1,-1,0,2,0,2,-1,0,0,0,0,-1,1,-1,0
s[8112],36,20,8,0,-4,-4,15,5,-1,-3,3,-1,-1,0,10,2,-2,-2,1,-1,1,0,0,6,0,-2,0,0,0,1,3,-1,-1,0,1,1,-1,1,0,0,0,1
s[7131],75,35,15,7,3,-5,15,5,3,1,0,2,0,3,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,0
s[712111],160,64,16,0,0,0,34,4,-2,0,-2,-2,-2,-2,16,0,0,0,-2,0,-2,0,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,1,0
s[7113],84,28,0,-8,-4,4,21,1,-3,1,3,1,3,3,10,-2,-2,2,1,1,1,0,0,4,-2,0,1,1,0,-1,1,-1,1,1,-1,0,0,0,0,0,0,-1
s[6141],90,34,14,6,2,10,6,4,2,0,3,1,-1,0,-4,0,0,4,2,0,-1,2,2,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,-1,-1,-1,0,0,0,0
s[613111],315,91,19,3,-5,-5,21,1,1,-3,-3,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,0,0,0,1,1,0,0
s[6122],225,55,5,3,9,15,15,-5,-1,3,-6,-2,2,0,5,-1,1,3,-1,-1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0
s[612112],350,70,-10,-10,-2,-10,35,-5,-1,-1,-1,1,-1,-1,10,-2,2,-2,1,1,1,2,2,0,0,0,0,0,0,0,-1,1,-1,-1,1,0,0,0,0,0,-1,0
