Unnamed: 0_level_0,[111],[2119],[2217],[2315],[2413],[2511],[3118],[312116],[312214],[312312],[3124],[3215],[322113],[322211],[3312],[3321],[4117],[412115],[412213],[412311],[413114],[41312112],[413122],[413211],[4213],[422111],[4231],[5116],[512114],[512212],[5123],[513113],[51312111],[5132],[514112],[514121],[5211],[6115],[612113],[612211],[613112],[613121],[614111],[6151],[7114],[712112],[7122],[713111],[7141],[8113],[812111],[8131],[9112],[9121],[10111],[111]
#,1,55,990,6930,17325,10395,330,9240,69300,138600,34650,18480,184800,277200,123200,123200,1980,41580,207900,207900,138600,831600,415800,554400,207900,623700,415800,11088,166320,498960,166320,443520,1330560,443520,997920,997920,798336,55440,554400,831600,1108800,1108800,1663200,1330560,237600,1425600,712800,1900800,1425600,831600,2494800,1663200,2217600,2217600,3991680,3628800
s[111],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s[10111],10,8,6,4,2,0,7,5,3,1,-1,4,2,0,1,-1,6,4,2,0,3,1,-1,0,2,0,-1,5,3,1,-1,2,0,-1,1,-1,0,4,2,0,1,-1,0,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1
s[9121],44,28,16,8,4,4,20,10,4,2,4,5,1,1,-1,1,14,6,2,2,2,0,2,-1,0,0,0,9,3,1,3,0,0,0,-1,1,-1,5,1,1,-1,1,-1,0,2,0,2,-1,0,0,0,0,-1,1,-1,0
s[9112],45,27,13,3,-3,-5,21,9,1,-3,-3,6,0,-2,0,0,15,5,-1,-3,3,-1,-1,0,1,-1,1,10,2,-2,-2,1,-1,1,0,0,0,6,0,-2,0,0,0,1,3,-1,-1,0,1,1,-1,1,0,0,0,1
s[8131],110,56,26,12,6,0,29,11,5,3,-3,2,2,2,2,2,14,4,2,0,-1,1,-1,2,-2,0,1,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,0
s[812111],231,105,35,5,-1,1,63,15,-1,-1,-1,3,-3,-1,-3,-3,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,16,0,0,0,-2,0,-2,0,0,1,5,-1,1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,1,0
s[8113],120,48,8,-8,-8,0,36,6,-4,-2,4,6,0,2,3,3,20,0,-4,0,2,0,2,2,0,0,0,10,-2,-2,2,1,1,1,0,0,0,4,-2,0,1,1,0,-1,1,-1,1,1,-1,0,0,0,0,0,0,-1
s[7141],165,69,29,13,5,5,21,9,5,1,5,3,3,-1,3,-3,1,1,1,1,1,1,1,1,1,1,1,-5,-1,-1,3,1,-1,-2,1,1,0,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,-1,-1,-1,0,0,0,0
s[713111],550,190,50,10,-2,-10,70,10,2,-2,-2,-5,1,-1,1,1,20,0,0,-4,-4,0,0,-1,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,0,0,0,1,1,0,0
s[7122],385,119,21,3,9,15,49,-1,-3,3,9,-8,-4,0,-2,2,21,-1,1,3,-3,-1,1,0,1,-1,1,5,-1,1,3,-1,-1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0
s[712112],594,162,6,-18,-6,-6,90,0,-6,0,-6,0,0,0,0,0,36,-4,0,0,0,2,0,0,2,2,2,9,-3,1,-3,0,0,0,1,1,-1,0,0,0,0,0,0,0,-1,1,-1,-1,1,0,0,0,0,0,-1,0
s[7114],210,42,-14,-14,2,10,42,0,-2,4,2,9,3,1,3,-3,14,-6,-2,2,2,0,-2,-1,-2,-2,-2,5,-3,1,1,2,0,-1,-1,-1,0,1,-1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1
s[6151],132,48,20,8,4,0,6,6,2,2,-2,6,0,2,-3,3,-8,0,0,0,4,0,0,-2,4,0,-2,-8,-2,0,-2,1,1,1,2,0,2,-4,-2,0,-1,1,0,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
s[614111],693,189,49,9,-3,5,21,9,1,-3,-3,6,0,-2,0,0,-21,-1,-1,3,3,-1,-1,0,1,1,1,-17,-1,-1,-1,1,-1,1,-1,-1,-2,-6,0,2,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0
s[613121],990,216,34,12,6,0,21,-9,1,3,-3,-12,0,4,0,0,-6,-4,-2,0,-3,-1,1,0,-2,0,1,-5,1,-1,-3,1,1,-2,-1,1,0,0,0,0,0,0,0,0,3,-1,-1,0,1,2,0,-1,0,0,0,0
s[613112],1232,224,0,-16,-16,0,56,-4,0,-4,8,-4,2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-8,4,0,4,1,1,1,0,0,2,-4,2,0,-1,-1,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0
