Unnamed: 0_level_0,[112],[21110],[2218],[2316],[2414],[2512],[26],[3119],[312117],[312215],[312313],[312411],[3216],[322114],[322212],[3223],[3313],[332111],[34],[4118],[412116],[412214],[412312],[4124],[413115],[41312113],[41312211],[413212],[413221],[4214],[422112],[4222],[423111],[43],[5117],[512115],[512213],[512311],[513114],[51312112],[513122],[513211],[514113],[51412111],[514131],[5212],[5221],[6116],[612114],[612212],[6123],[613113],[61312111],[6132],[614112],[614121],[615111],[62],[7115],[712113],[712211],[713112],[713121],[714111],[7151],[8114],[812112],[8122],[813111],[8141],[9113],[912111],[9131],[10112],[10121],[11111],[121]
#,1,66,1485,13860,51975,62370,10395,440,15840,166320,554400,415800,36960,554400,1663200,554400,492800,1478400,246400,2970,83160,623700,1247400,311850,332640,3326400,4989600,3326400,3326400,623700,3742200,1871100,4989600,1247400,19008,399168,1995840,1995840,1330560,7983360,3991680,5322240,3991680,11975040,7983360,4790016,4790016,110880,1663200,4989600,1663200,4435200,13305600,4435200,9979200,9979200,15966720,6652800,570240,5702400,8553600,11404800,11404800,17107200,13685760,2494800,14968800,7484400,19958400,14968800,8870400,26611200,17740800,23950080,23950080,43545600,39916800
s[121],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s[11111],11,9,7,5,3,1,-1,8,6,4,2,0,5,3,1,-1,2,0,-1,7,5,3,1,-1,4,2,0,1,-1,3,1,-1,0,-1,6,4,2,0,3,1,-1,0,2,0,-1,1,-1,5,3,1,-1,2,0,-1,1,-1,0,-1,4,2,0,1,-1,0,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1
s[10121],54,36,22,12,6,4,6,27,15,7,3,3,9,3,1,3,0,0,0,20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,14,6,2,2,2,0,2,-1,0,0,0,-1,1,9,3,1,3,0,0,0,-1,1,-1,0,5,1,1,-1,1,-1,0,2,0,2,-1,0,0,0,0,-1,1,-1,0
s[10112],55,35,19,7,-1,-5,-5,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,21,9,1,-3,-3,6,0,-2,0,0,3,-1,-1,0,1,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,10,2,-2,-2,1,-1,1,0,0,0,1,6,0,-2,0,0,0,1,3,-1,-1,0,1,1,-1,1,0,0,0,1
s[9131],154,84,42,20,10,4,-6,49,21,9,5,1,7,3,3,-1,1,3,4,28,10,4,2,-4,1,1,1,1,1,-2,0,-2,1,0,14,4,2,0,-1,1,-1,2,-2,0,1,-1,-1,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,0
s[912111],320,160,64,16,0,0,0,104,34,4,-2,0,14,-2,-2,-2,-4,-2,-4,64,16,0,0,0,4,-2,0,-2,-2,0,0,0,0,0,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,16,0,0,0,-2,0,-2,0,0,1,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,1,0
s[9113],165,75,21,-5,-11,-5,5,57,15,-3,-5,1,12,0,0,4,3,3,3,35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,20,0,-4,0,2,0,2,2,0,0,0,0,0,10,-2,-2,2,1,1,1,0,0,0,-1,4,-2,0,1,1,0,-1,1,-1,1,1,-1,0,0,0,0,0,0,-1
s[8141],275,125,55,25,11,5,15,50,20,10,4,2,5,5,1,1,5,-1,-4,15,5,3,1,7,0,2,0,3,-1,-1,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,-1,-1,-1,0,0,0,0
s[813111],891,351,111,27,3,-9,-9,162,36,6,0,-6,0,0,0,0,0,0,0,69,9,1,-3,-3,-6,0,-2,0,0,-5,-1,-1,-2,-3,21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,0,0,0,1,1,0,0
s[8122],616,224,56,8,8,16,24,112,14,-4,2,8,-5,-7,-1,5,-5,-1,4,56,4,0,4,8,-4,-2,0,-1,1,0,0,0,0,0,21,-1,1,3,-3,-1,1,0,1,-1,1,1,-1,5,-1,1,3,-1,-1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0
s[812112],945,315,49,-21,-15,-5,-15,189,21,-11,-3,-3,9,-3,1,-3,0,0,0,91,1,-5,1,-5,1,1,1,1,1,1,3,1,1,3,35,-5,-1,-1,-1,1,-1,-1,1,1,1,0,0,9,-3,1,-3,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,0,0,0,0,0,-1,0
s[8114],330,90,-6,-22,-6,10,10,78,6,-6,2,6,15,3,3,-1,6,0,-3,34,-6,-6,2,2,4,0,0,1,-3,-2,-2,-2,-2,-2,15,-5,-1,3,3,1,-1,0,-1,-1,-1,0,0,5,-3,1,1,2,0,-1,-1,-1,0,1,1,-1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1
s[7151],297,117,49,21,9,5,-15,27,15,7,3,3,9,3,1,3,0,0,0,-7,1,1,1,-7,5,1,1,-1,1,5,1,-3,-1,-3,-13,-3,-1,1,2,0,2,-1,3,1,0,2,2,-9,-3,-1,-3,0,0,0,1,-1,1,0,-4,-2,0,-1,1,0,1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
s[714111],1408,448,128,32,0,0,0,112,28,8,-4,0,4,4,-4,-4,4,-2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,-2,-2,2,2,-2,-2,-1,0,0,0,-2,-2,-16,0,0,0,2,0,2,0,0,-1,0,-6,0,2,0,0,0,-1,0,0,0,0,0,1,1,1,0,0,0,0
s[713121],1925,525,105,25,13,5,-15,140,0,0,4,4,-25,-3,3,1,-1,3,-4,35,-5,-1,-1,-5,-10,-2,2,-1,1,-3,-3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-1,-3,1,1,-2,-1,1,0,0,0,0,0,0,0,0,0,3,-1,-1,0,1,2,0,-1,0,0,0,0
s[713112],2376,576,56,-24,-24,-16,24,216,6,-4,-6,0,-9,3,-1,3,0,0,0,56,-4,0,-4,8,-4,2,0,-1,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,-9,3,-1,3,0,0,0,-1,-1,1,0,-4,2,0,-1,-1,0,1,0,0,0,0,0,0,0,0,-1,-1,0,0
s[712211],2079,441,7,-15,15,9,-9,189,-21,-11,3,-3,-18,-6,-2,-6,0,0,0,77,-5,5,3,-3,-1,1,-1,2,-2,7,1,-1,1,-3,14,-4,2,0,-1,-1,-1,2,2,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0,0,-1,1,0,0
