Unnamed: 0_level_0,[113],[21111],[2219],[2317],[2415],[2513],[2611],[31110],[312118],[312216],[312314],[312412],[3125],[3217],[322115],[322213],[322311],[3314],[332112],[3322],[3411],[4119],[412117],[412215],[412313],[412411],[413116],[41312114],[41312212],[413123],[413213],[41322111],[4133],[4215],[422113],[422211],[423112],[423121],[4311],[5118],[512116],[512214],[512312],[5124],[513115],[51312113],[51312211],[513212],[513221],[514114],[51412112],[514122],[51413111],[5142],[5213],[522111],[5231],[6117],[612115],[612213],[612311],[613114],[61312112],[613122],[613211],[614113],[61412111],[614131],[615112],[615121],[6211],[7116],[712114],[712212],[7123],[713113],[71312111],[7132],[714112],[714121],[715111],[7161],[8115],[812113],[812211],[813112],[813121],[814111],[8151],[9114],[912112],[9122],[913111],[9141],[10113],[1012111],[10131],[11112],[11121],[12111],[131]
#,1,78,2145,25740,135135,270270,135135,572,25740,360360,1801800,2702700,540540,68640,1441440,7207200,7207200,1601600,9609600,4804800,3203200,4290,154440,1621620,5405400,4054050,720720,10810800,32432400,10810800,14414400,43243200,9609600,1621620,16216200,24324300,32432400,32432400,16216200,30888,864864,6486480,12972960,3243240,3459456,34594560,51891840,34594560,34594560,12972960,77837760,38918880,103783680,38918880,20756736,62270208,41513472,205920,4324320,21621600,21621600,14414400,86486400,43243200,57657600,43243200,129729600,86486400,103783680,103783680,86486400,1235520,18532800,55598400,18532800,49420800,148262400,49420800,111196800,111196800,177914880,148262400,6486480,64864800,97297200,129729600,129729600,194594400,155675520,28828800,172972800,86486400,230630400,172972800,103783680,311351040,207567360,283046400,283046400,518918400,479001600
s[131],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s[12111],12,10,8,6,4,2,0,9,7,5,3,1,-1,6,4,2,0,3,1,-1,0,8,6,4,2,0,5,3,1,-1,2,0,-1,4,2,0,1,-1,0,7,5,3,1,-1,4,2,0,1,-1,3,1,-1,0,-1,2,0,-1,6,4,2,0,3,1,-1,0,2,0,-1,1,-1,0,5,3,1,-1,2,0,-1,1,-1,0,-1,4,2,0,1,-1,0,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1
s[11121],65,45,29,17,9,5,5,35,21,11,5,3,5,14,6,2,2,2,0,2,-1,27,15,7,3,3,9,3,1,3,0,0,0,5,1,1,-1,1,-1,20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,0,0,0,14,6,2,2,2,0,2,-1,0,0,0,-1,1,-1,9,3,1,3,0,0,0,-1,1,-1,0,5,1,1,-1,1,-1,0,2,0,2,-1,0,0,0,0,-1,1,-1,0
s[11112],66,44,26,12,2,-4,-6,36,20,8,0,-4,-4,15,5,-1,-3,3,-1,-1,0,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,6,0,-2,0,0,0,21,9,1,-3,-3,6,0,-2,0,0,3,-1,-1,0,1,1,-1,1,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,0,10,2,-2,-2,1,-1,1,0,0,0,1,6,0,-2,0,0,0,1,3,-1,-1,0,1,1,-1,1,0,0,0,1
s[10131],208,120,64,32,16,8,0,76,36,16,8,4,-4,16,6,4,2,1,3,1,4,48,20,8,4,0,6,2,2,-2,0,2,3,0,0,0,0,0,0,28,10,4,2,-4,1,1,1,1,1,-2,0,-2,1,0,-2,0,1,14,4,2,0,-1,1,-1,2,-2,0,1,-1,-1,0,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,0
s[1012111],429,231,105,35,5,-1,1,159,63,15,-1,-1,-1,33,3,-3,-1,-3,-3,-3,-3,105,35,5,-1,1,15,-1,-1,-1,-3,-1,-3,5,-1,1,-1,-1,1,64,16,0,0,0,4,-2,0,-2,-2,0,0,0,0,0,-1,1,-1,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,1,16,0,0,0,-2,0,-2,0,0,1,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,1,0
s[10113],220,110,40,2,-12,-10,0,85,29,1,-7,-3,5,22,2,-2,2,4,2,4,4,56,14,-4,-6,0,11,-1,-1,3,2,2,2,4,-2,0,1,1,0,35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,0,0,0,20,0,-4,0,2,0,2,2,0,0,0,0,0,0,10,-2,-2,2,1,1,1,0,0,0,-1,4,-2,0,1,1,0,-1,1,-1,1,1,-1,0,0,0,0,0,0,-1
s[9141],429,209,97,45,21,9,9,99,41,19,9,3,9,12,8,4,0,6,2,-2,0,43,15,7,3,3,1,3,1,3,4,0,-2,-3,1,1,3,1,3,14,4,2,0,6,-1,1,-1,2,-2,-2,0,2,1,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,-1,-1,-1,0,0,0,0
s[913111],1365,595,217,63,13,-5,-15,315,91,19,3,-5,-5,21,1,1,-3,-3,1,1,0,161,35,5,-1,-7,-1,-1,-1,-1,-1,-1,-1,-7,-1,-3,-1,-1,-3,70,10,2,-2,-2,-5,1,-1,1,1,-4,0,0,-1,-2,0,0,0,21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,0,0,0,1,1,0,0
