Unnamed: 0_level_0,[114],[21112],[22110],[2318],[2416],[2514],[2612],[27],[31111],[312119],[312217],[312315],[312413],[312511],[3218],[322116],[322214],[322312],[3224],[3315],[332113],[332211],[3412],[3421],[41110],[412118],[412216],[412314],[412412],[4125],[413117],[41312115],[41312213],[41312311],[413214],[41322112],[413222],[413311],[4216],[422114],[422212],[4223],[423113],[42312111],[4232],[4312],[4321],[5119],[512117],[512215],[512313],[512411],[513116],[51312114],[51312212],[513123],[513213],[51322111],[5133],[514115],[51412113],[51412211],[51413112],[51413121],[514211],[5214],[522112],[5222],[523111],[5241],[6118],[612116],[612214],[612312],[6124],[613115],[61312113],[61312211],[613212],[613221],[614114],[61412112],[614122],[61413111],[6142],[615113],[61512111],[615131],[6212],[6221],[7117],[712115],[712213],[712311],[713114],[71312112],[713122],[713211],[714113],[71412111],[714131],[715112],[715121],[716111],[72],[8116],[812114],[812212],[8123],[813113],[81312111],[8132],[814112],[814121],[815111],[8161],[9115],[912113],[912211],[913112],[913121],[914111],[9151],[10114],[1012112],[10122],[1013111],[10141],[11113],[1112111],[11131],[12112],[12121],[13111],[141]
#,1,91,3003,45045,315315,945945,945945,135135,728,40040,720720,5045040,12612600,7567560,120120,3363360,25225200,50450400,12612600,4484480,44844800,67267200,22422400,22422400,6006,270270,3783780,18918900,28378350,5675670,1441440,30270240,151351200,151351200,50450400,302702400,151351200,134534400,3783780,56756700,170270100,56756700,151351200,454053600,151351200,113513400,113513400,48048,1729728,18162144,60540480,45405360,8072064,121080960,363242880,121080960,161441280,484323840,107627520,36324288,363242880,544864320,726485760,726485760,544864320,72648576,435891456,217945728,581188608,435891456,360360,10090080,75675600,151351200,37837800,40360320,403603200,605404800,403603200,403603200,151351200,908107200,454053600,1210809600,454053600,484323840,1452971520,968647680,605404800,605404800,2471040,51891840,259459200,259459200,172972800,1037836800,518918400,691891200,518918400,1556755200,1037836800,1245404160,1245404160,2075673600,889574400,15135120,227026800,681080400,227026800,605404800,1816214400,605404800,1362160800,1362160800,2179457280,1816214400,80720640,807206400,1210809600,1614412800,1614412800,2421619200,1937295360,363242880,2179457280,1089728640,2905943040,2179457280,1320883200,3962649600,2641766400,3632428800,3632428800,6706022400,6227020800
s[141],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s[13111],13,11,9,7,5,3,1,-1,10,8,6,4,2,0,7,5,3,1,-1,4,2,0,1,-1,9,7,5,3,1,-1,6,4,2,0,3,1,-1,0,5,3,1,-1,2,0,-1,1,-1,8,6,4,2,0,5,3,1,-1,2,0,-1,4,2,0,1,-1,0,3,1,-1,0,-1,7,5,3,1,-1,4,2,0,1,-1,3,1,-1,0,-1,2,0,-1,1,-1,6,4,2,0,3,1,-1,0,2,0,-1,1,-1,0,-1,5,3,1,-1,2,0,-1,1,-1,0,-1,4,2,0,1,-1,0,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1
s[12121],77,55,37,23,13,7,5,7,44,28,16,8,4,4,20,10,4,2,4,5,1,1,-1,1,35,21,11,5,3,5,14,6,2,2,2,0,2,-1,9,3,1,3,0,0,0,-1,1,27,15,7,3,3,9,3,1,3,0,0,0,5,1,1,-1,1,-1,2,0,2,-1,0,20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,0,0,0,-1,1,14,6,2,2,2,0,2,-1,0,0,0,-1,1,-1,0,9,3,1,3,0,0,0,-1,1,-1,0,5,1,1,-1,1,-1,0,2,0,2,-1,0,0,0,0,-1,1,-1,0
s[12112],78,54,34,18,6,-2,-6,-6,45,27,13,3,-3,-5,21,9,1,-3,-3,6,0,-2,0,0,36,20,8,0,-4,-4,15,5,-1,-3,3,-1,-1,0,10,2,-2,-2,1,-1,1,0,0,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,6,0,-2,0,0,0,3,-1,-1,0,1,21,9,1,-3,-3,6,0,-2,0,0,3,-1,-1,0,1,1,-1,1,0,0,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,0,1,10,2,-2,-2,1,-1,1,0,0,0,1,6,0,-2,0,0,0,1,3,-1,-1,0,1,1,-1,1,0,0,0,1
s[11131],273,165,93,49,25,13,5,-7,111,57,27,13,7,1,30,12,6,4,-2,3,3,3,3,3,75,35,15,7,3,-5,15,5,3,1,0,2,0,3,5,1,1,-3,-1,1,2,-1,-1,48,20,8,4,0,6,2,2,-2,0,2,3,0,0,0,0,0,0,-2,0,-2,1,0,28,10,4,2,-4,1,1,1,1,1,-2,0,-2,1,0,-2,0,1,-1,-1,14,4,2,0,-1,1,-1,2,-2,0,1,-1,-1,0,0,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,0
s[1112111],560,320,160,64,16,0,0,0,230,104,34,4,-2,0,62,14,-2,-2,-2,2,-4,-2,-4,-4,160,64,16,0,0,0,34,4,-2,0,-2,-2,-2,-2,16,0,0,0,-2,0,-2,0,0,105,35,5,-1,1,15,-1,-1,-1,-3,-1,-3,5,-1,1,-1,-1,1,0,0,0,0,0,64,16,0,0,0,4,-2,0,-2,-2,0,0,0,0,0,-1,1,-1,0,0,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,1,0,16,0,0,0,-2,0,-2,0,0,1,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,1,0
s[11113],286,154,66,14,-10,-14,-6,6,121,49,9,-7,-7,1,37,7,-3,-1,5,7,1,3,4,4,84,28,0,-8,-4,4,21,1,-3,1,3,1,3,3,10,-2,-2,2,1,1,1,0,0,56,14,-4,-6,0,11,-1,-1,3,2,2,2,4,-2,0,1,1,0,1,-1,1,1,-1,35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,0,0,0,0,0,20,0,-4,0,2,0,2,2,0,0,0,0,0,0,-1,10,-2,-2,2,1,1,1,0,0,0,-1,4,-2,0,1,1,0,-1,1,-1,1,1,-1,0,0,0,0,0,0,-1
s[10141],637,329,161,77,37,17,9,21,175,77,35,17,7,5,28,14,8,2,4,7,5,-1,4,-4,91,35,15,7,3,11,7,5,3,1,4,2,0,1,-3,1,1,5,3,1,0,3,3,42,14,6,2,2,0,2,0,2,3,-1,-3,-4,0,0,2,0,2,-3,-1,1,0,1,14,4,2,0,6,-1,1,-1,2,-2,-2,0,2,1,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,-1,-1,-1,0,0,0,0
s[1013111],2002,946,386,130,34,2,-14,-14,550,190,50,10,-2,-10,70,10,2,-2,-2,-5,1,-1,1,1,314,90,18,2,-6,-6,20,0,0,-4,-4,0,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,162,36,6,0,-6,0,0,0,0,0,0,0,-6,0,-2,0,0,-2,-3,1,1,0,-1,70,10,2,-2,-2,-5,1,-1,1,1,-4,0,0,-1,-2,0,0,0,1,1,21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,0,0,0,1,1,0,0
