Unnamed: 0_level_0,[115],[21113],[22111],[2319],[2417],[2515],[2613],[2711],[31112],[3121110],[312218],[312316],[312414],[312512],[3126],[3219],[322117],[322215],[322313],[322411],[3316],[332114],[332212],[3323],[3413],[342111],[35],[41111],[412119],[412217],[412315],[412413],[412511],[413118],[41312116],[41312214],[41312312],[413124],[413215],[41322113],[41322211],[413312],[413321],[4217],[422115],[422213],[422311],[423114],[42312112],[423122],[423211],[4313],[432111],[4331],[51110],[512118],[512216],[512314],[512412],[5125],[513117],[51312115],[51312213],[51312311],[513214],[51322112],[513222],[513311],[514116],[51412114],[51412212],[514123],[51413113],[5141312111],[514132],[514212],[514221],[5215],[522113],[522211],[523112],[523121],[524111],[53],[6119],[612117],[612215],[612313],[612411],[613116],[61312114],[61312212],[613123],[613213],[61322111],[6133],[614115],[61412113],[61412211],[61413112],[61413121],[614211],[615114],[61512112],[615122],[61513111],[615141],[6213],[622111],[6231],[7118],[712116],[712214],[712312],[7124],[713115],[71312113],[71312211],[713212],[713221],[714114],[71412112],[714122],[71413111],[7142],[715113],[71512111],[715131],[716112],[716121],[7211],[8117],[812115],[812213],[812311],[813114],[81312112],[813122],[813211],[814113],[81412111],[814131],[815112],[815121],[816111],[8171],[9116],[912114],[912212],[9123],[913113],[91312111],[9132],[914112],[914121],[915111],[9161],[10115],[1012113],[1012211],[1013112],[1013121],[1014111],[10151],[11114],[1112112],[11122],[1113111],[11141],[12113],[1212111],[12131],[13112],[13121],[14111],[151]
#,1,105,4095,75075,675675,2837835,4729725,2027025,910,60060,1351350,12612600,47297250,56756700,9459450,200200,7207200,75675600,252252000,189189000,11211200,168168000,504504000,168168000,112112000,336336000,44844800,8190,450450,8108100,56756700,141891750,85135050,2702700,75675600,567567000,1135134000,283783500,151351200,1513512000,2270268000,1009008000,1009008000,8108100,170270100,851350500,851350500,567567000,3405402000,1702701000,2270268000,567567000,1702701000,1135134000,72072,3243240,45405360,227026800,340540200,68108040,17297280,363242880,1816214400,1816214400,605404800,3632428800,1816214400,1614412800,90810720,1362160800,4086482400,1362160800,3632428800,10897286400,3632428800,4086482400,4086482400,217945728,2179457280,3269185920,4358914560,4358914560,6538371840,1743565824,600600,21621600,227026800,756756000,567567000,100900800,1513512000,4540536000,1513512000,2018016000,6054048000,1345344000,454053600,4540536000,6810804000,9081072000,9081072000,6810804000,1816214400,10897286400,5448643200,14529715200,10897286400,3027024000,9081072000,6054048000,4633200,129729600,972972000,1945944000,486486000,518918400,5189184000,7783776000,5189184000,5189184000,1945944000,11675664000,5837832000,15567552000,5837832000,6227020800,18681062400,12454041600,15567552000,15567552000,13343616000,32432400,681080400,3405402000,3405402000,2270268000,13621608000,6810804000,9081072000,6810804000,20432412000,13621608000,16345929600,16345929600,27243216000,23351328000,201801600,3027024000,9081072000,3027024000,8072064000,24216192000,8072064000,18162144000,18162144000,29059430400,24216192000,1089728640,10897286400,16345929600,21794572800,21794572800,32691859200,26153487360,4953312000,29719872000,14859936000,39626496000,29719872000,18162144000,54486432000,36324288000,50295168000,50295168000,93405312000,87178291200
s[151],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s[14111],14,12,10,8,6,4,2,0,11,9,7,5,3,1,-1,8,6,4,2,0,5,3,1,-1,2,0,-1,10,8,6,4,2,0,7,5,3,1,-1,4,2,0,1,-1,6,4,2,0,3,1,-1,0,2,0,-1,9,7,5,3,1,-1,6,4,2,0,3,1,-1,0,5,3,1,-1,2,0,-1,1,-1,4,2,0,1,-1,0,-1,8,6,4,2,0,5,3,1,-1,2,0,-1,4,2,0,1,-1,0,3,1,-1,0,-1,2,0,-1,7,5,3,1,-1,4,2,0,1,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,6,4,2,0,3,1,-1,0,2,0,-1,1,-1,0,-1,5,3,1,-1,2,0,-1,1,-1,0,-1,4,2,0,1,-1,0,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1
s[13121],90,66,46,30,18,10,6,6,54,36,22,12,6,4,6,27,15,7,3,3,9,3,1,3,0,0,0,44,28,16,8,4,4,20,10,4,2,4,5,1,1,-1,1,14,6,2,2,2,0,2,-1,0,0,0,35,21,11,5,3,5,14,6,2,2,2,0,2,-1,9,3,1,3,0,0,0,-1,1,5,1,1,-1,1,-1,0,27,15,7,3,3,9,3,1,3,0,0,0,5,1,1,-1,1,-1,2,0,2,-1,0,0,0,0,20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,0,0,0,-1,1,-1,14,6,2,2,2,0,2,-1,0,0,0,-1,1,-1,0,9,3,1,3,0,0,0,-1,1,-1,0,5,1,1,-1,1,-1,0,2,0,2,-1,0,0,0,0,-1,1,-1,0
s[13112],91,65,43,25,11,1,-5,-7,55,35,19,7,-1,-5,-5,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,45,27,13,3,-3,-5,21,9,1,-3,-3,6,0,-2,0,0,15,5,-1,-3,3,-1,-1,0,1,-1,1,36,20,8,0,-4,-4,15,5,-1,-3,3,-1,-1,0,10,2,-2,-2,1,-1,1,0,0,6,0,-2,0,0,0,1,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,6,0,-2,0,0,0,3,-1,-1,0,1,1,-1,1,21,9,1,-3,-3,6,0,-2,0,0,3,-1,-1,0,1,1,-1,1,0,0,0,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,0,1,10,2,-2,-2,1,-1,1,0,0,0,1,6,0,-2,0,0,0,1,3,-1,-1,0,1,1,-1,1,0,0,0,1
s[12131],350,220,130,72,38,20,10,0,155,85,43,21,11,5,-5,50,22,10,6,2,8,4,4,0,2,4,5,110,56,26,12,6,0,29,11,5,3,-3,2,2,2,2,2,14,4,2,0,-1,1,-1,2,-2,0,1,75,35,15,7,3,-5,15,5,3,1,0,2,0,3,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,48,20,8,4,0,6,2,2,-2,0,2,3,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,28,10,4,2,-4,1,1,1,1,1,-2,0,-2,1,0,-2,0,1,-1,-1,0,14,4,2,0,-1,1,-1,2,-2,0,1,-1,-1,0,0,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,0
s[1212111],715,429,231,105,35,5,-1,1,319,159,63,15,-1,-1,-1,103,33,3,-3,-1,13,-3,-3,-3,-5,-3,-5,231,105,35,5,-1,1,63,15,-1,-1,-1,3,-3,-1,-3,-3,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,160,64,16,0,0,0,34,4,-2,0,-2,-2,-2,-2,16,0,0,0,-2,0,-2,0,0,5,-1,1,-1,-1,1,0,105,35,5,-1,1,15,-1,-1,-1,-3,-1,-3,5,-1,1,-1,-1,1,0,0,0,0,0,-1,1,-1,64,16,0,0,0,4,-2,0,-2,-2,0,0,0,0,0,-1,1,-1,0,0,1,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,1,0,16,0,0,0,-2,0,-2,0,0,1,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,1,0
s[12113],364,208,100,32,-4,-16,-12,0,166,76,22,-4,-10,-4,6,58,16,-2,-4,2,13,1,1,5,4,4,4,120,48,8,-8,-8,0,36,6,-4,-2,4,6,0,2,3,3,20,0,-4,0,2,0,2,2,0,0,0,84,28,0,-8,-4,4,21,1,-3,1,3,1,3,3,10,-2,-2,2,1,1,1,0,0,4,-2,0,1,1,0,-1,56,14,-4,-6,0,11,-1,-1,3,2,2,2,4,-2,0,1,1,0,1,-1,1,1,-1,0,0,0,35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,0,0,0,0,0,0,20,0,-4,0,2,0,2,2,0,0,0,0,0,0,-1,10,-2,-2,2,1,1,1,0,0,0,-1,4,-2,0,1,1,0,-1,1,-1,1,1,-1,0,0,0,0,0,0,-1
s[11141],910,494,254,126,62,30,14,14,286,134,62,30,14,6,14,58,26,14,6,2,10,8,2,0,7,-1,-5,166,70,30,14,6,6,22,10,6,2,6,4,4,0,4,-2,2,2,2,2,2,2,2,2,2,2,2,90,34,14,6,2,10,6,4,2,0,3,1,-1,0,-4,0,0,4,2,0,-1,2,2,-5,-1,-1,1,-1,1,0,42,14,6,2,2,0,2,0,2,3,-1,-3,-4,0,0,2,0,2,-3,-1,1,0,1,-1,-1,-1,14,4,2,0,6,-1,1,-1,2,-2,-2,0,2,1,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,-1,-1,-1,0,0,0,0
s[1113111],2835,1431,639,243,75,15,-9,-21,891,351,111,27,3,-9,-9,162,36,6,0,-6,0,0,0,0,0,0,0,549,189,49,9,-3,-11,69,9,1,-3,-3,-6,0,-2,0,0,19,-1,-1,-5,-5,-1,-1,-2,-3,-3,-3,315,91,19,3,-5,-5,21,1,1,-3,-3,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5,1,-1,1,1,-1,0,162,36,6,0,-6,0,0,0,0,0,0,0,-6,0,-2,0,0,-2,-3,1,1,0,-1,0,0,0,70,10,2,-2,-2,-5,1,-1,1,1,-4,0,0,-1,-2,0,0,0,1,1,0,21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,0,0,0,1,1,0,0
