Unnamed: 0_level_0,[116],[21114],[22112],[23110],[2418],[2516],[2614],[2712],[28],[31113],[3121111],[312219],[312317],[312415],[312513],[312611],[32110],[322118],[322216],[322314],[322412],[3225],[3317],[332115],[332213],[332311],[3414],[342112],[3422],[3511],[41112],[4121110],[412218],[412316],[412414],[412512],[4126],[413119],[41312117],[41312215],[41312313],[41312411],[413216],[41322114],[41322212],[413223],[413313],[41332111],[4134],[4218],[422116],[422214],[422312],[4224],[423115],[42312113],[42312211],[423212],[423221],[4314],[432112],[4322],[433111],[44],[51111],[512119],[512217],[512315],[512413],[512511],[513118],[51312116],[51312214],[51312312],[513124],[513215],[51322113],[51322211],[513312],[513321],[514117],[51412115],[51412213],[51412311],[51413114],[5141312112],[51413122],[51413211],[514213],[51422111],[514231],[5216],[522114],[522212],[5223],[523113],[52312111],[5232],[524112],[524121],[5311],[61110],[612118],[612216],[612314],[612412],[6125],[613117],[61312115],[61312213],[61312311],[613214],[61322112],[613222],[613311],[614116],[61412114],[61412212],[614123],[61413113],[6141312111],[614132],[614212],[614221],[615115],[61512113],[61512211],[61513112],[61513121],[61514111],[6152],[6214],[622112],[6222],[623111],[6241],[7119],[712117],[712215],[712313],[712411],[713116],[71312114],[71312212],[713123],[713213],[71322111],[7133],[714115],[71412113],[71412211],[71413112],[71413121],[714211],[715114],[71512112],[715122],[71513111],[715141],[716113],[71612111],[716131],[7212],[7221],[8118],[812116],[812214],[812312],[8124],[813115],[81312113],[81312211],[813212],[813221],[814114],[81412112],[814122],[81413111],[8142],[815113],[81512111],[815131],[816112],[816121],[817111],[82],[9117],[912115],[912213],[912311],[913114],[91312112],[913122],[913211],[914113],[91412111],[914131],[915112],[915121],[916111],[9171],[10116],[1012114],[1012212],[10123],[1013113],[101312111],[10132],[1014112],[1014121],[1015111],[10161],[11115],[1112113],[1112211],[1113112],[1113121],[1114111],[11151],[12114],[1212112],[12122],[1213111],[12141],[13113],[1312111],[13131],[14112],[14121],[15111],[161]
#,1,120,5460,120120,1351350,7567560,18918900,16216200,2027025,1120,87360,2402400,28828800,151351200,302702400,151351200,320320,14414400,201801600,1009008000,1513512000,302702400,25625600,538137600,2690688000,2690688000,448448000,2690688000,1345344000,717516800,10920,720720,16216200,151351200,567567000,681080400,113513400,4804800,172972800,1816214400,6054048000,4540536000,403603200,6054048000,18162144000,6054048000,5381376000,16144128000,2690688000,16216200,454053600,3405402000,6810804000,1702701000,1816214400,18162144000,27243216000,18162144000,18162144000,2270268000,13621608000,6810804000,18162144000,3405402000,104832,5765760,103783680,726485760,1816214400,1089728640,34594560,968647680,7264857600,14529715200,3632428800,1937295360,19372953600,29059430400,12915302400,12915302400,207567360,4358914560,21794572800,21794572800,14529715200,87178291200,43589145600,58118860800,21794572800,65383718400,43589145600,581188608,8717829120,26153487360,8717829120,23247544320,69742632960,23247544320,52306974720,52306974720,27897053184,960960,43243200,605404800,3027024000,4540536000,908107200,230630400,4843238400,24216192000,24216192000,8072064000,48432384000,24216192000,21525504000,1210809600,18162144000,54486432000,18162144000,48432384000,145297152000,48432384000,54486432000,54486432000,5811886080,58118860800,87178291200,116237721600,116237721600,174356582400,69742632960,12108096000,72648576000,36324288000,96864768000,72648576000,8236800,296524800,3113510400,10378368000,7783776000,1383782400,20756736000,62270208000,20756736000,27675648000,83026944000,18450432000,6227020800,62270208000,93405312000,124540416000,124540416000,93405312000,24908083200,149448499200,74724249600,199264665600,149448499200,83026944000,249080832000,166053888000,106748928000,106748928000,64864800,1816214400,13621608000,27243216000,6810804000,7264857600,72648576000,108972864000,72648576000,72648576000,27243216000,163459296000,81729648000,217945728000,81729648000,87178291200,261534873600,174356582400,217945728000,217945728000,373621248000,163459296000,461260800,9686476800,48432384000,48432384000,32288256000,193729536000,96864768000,129153024000,96864768000,290594304000,193729536000,232475443200,232475443200,387459072000,332107776000,2905943040,43589145600,130767436800,43589145600,116237721600,348713164800,116237721600,261534873600,261534873600,418455797760,348713164800,15850598400,158505984000,237758976000,317011968000,317011968000,475517952000,380414361600,72648576000,435891456000,217945728000,581188608000,435891456000,268240896000,804722688000,536481792000,747242496000,747242496000,1394852659200,1307674368000
s[161],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s[15111],15,13,11,9,7,5,3,1,-1,12,10,8,6,4,2,0,9,7,5,3,1,-1,6,4,2,0,3,1,-1,0,11,9,7,5,3,1,-1,8,6,4,2,0,5,3,1,-1,2,0,-1,7,5,3,1,-1,4,2,0,1,-1,3,1,-1,0,-1,10,8,6,4,2,0,7,5,3,1,-1,4,2,0,1,-1,6,4,2,0,3,1,-1,0,2,0,-1,5,3,1,-1,2,0,-1,1,-1,0,9,7,5,3,1,-1,6,4,2,0,3,1,-1,0,5,3,1,-1,2,0,-1,1,-1,4,2,0,1,-1,0,-1,3,1,-1,0,-1,8,6,4,2,0,5,3,1,-1,2,0,-1,4,2,0,1,-1,0,3,1,-1,0,-1,2,0,-1,1,-1,7,5,3,1,-1,4,2,0,1,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1,6,4,2,0,3,1,-1,0,2,0,-1,1,-1,0,-1,5,3,1,-1,2,0,-1,1,-1,0,-1,4,2,0,1,-1,0,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1
s[14121],104,78,56,38,24,14,8,6,8,65,45,29,17,9,5,5,35,21,11,5,3,5,14,6,2,2,2,0,2,-1,54,36,22,12,6,4,6,27,15,7,3,3,9,3,1,3,0,0,0,20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,44,28,16,8,4,4,20,10,4,2,4,5,1,1,-1,1,14,6,2,2,2,0,2,-1,0,0,0,9,3,1,3,0,0,0,-1,1,-1,35,21,11,5,3,5,14,6,2,2,2,0,2,-1,9,3,1,3,0,0,0,-1,1,5,1,1,-1,1,-1,0,2,0,2,-1,0,27,15,7,3,3,9,3,1,3,0,0,0,5,1,1,-1,1,-1,2,0,2,-1,0,0,0,0,-1,1,20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,0,0,0,-1,1,-1,0,14,6,2,2,2,0,2,-1,0,0,0,-1,1,-1,0,9,3,1,3,0,0,0,-1,1,-1,0,5,1,1,-1,1,-1,0,2,0,2,-1,0,0,0,0,-1,1,-1,0
s[14112],105,77,53,33,17,5,-3,-7,-7,66,44,26,12,2,-4,-6,36,20,8,0,-4,-4,15,5,-1,-3,3,-1,-1,0,55,35,19,7,-1,-5,-5,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,21,9,1,-3,-3,6,0,-2,0,0,3,-1,-1,0,1,45,27,13,3,-3,-5,21,9,1,-3,-3,6,0,-2,0,0,15,5,-1,-3,3,-1,-1,0,1,-1,1,10,2,-2,-2,1,-1,1,0,0,0,36,20,8,0,-4,-4,15,5,-1,-3,3,-1,-1,0,10,2,-2,-2,1,-1,1,0,0,6,0,-2,0,0,0,1,3,-1,-1,0,1,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,6,0,-2,0,0,0,3,-1,-1,0,1,1,-1,1,0,0,21,9,1,-3,-3,6,0,-2,0,0,3,-1,-1,0,1,1,-1,1,0,0,0,1,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,0,1,10,2,-2,-2,1,-1,1,0,0,0,1,6,0,-2,0,0,0,1,3,-1,-1,0,1,1,-1,1,0,0,0,1
s[13131],440,286,176,102,56,30,16,6,-8,209,121,65,33,17,9,1,77,37,17,9,5,-3,17,7,5,3,2,4,2,5,154,84,42,20,10,4,-6,49,21,9,5,1,7,3,3,-1,1,3,4,28,10,4,2,-4,1,1,1,1,1,-2,0,-2,1,0,110,56,26,12,6,0,29,11,5,3,-3,2,2,2,2,2,14,4,2,0,-1,1,-1,2,-2,0,1,5,1,1,-3,-1,1,2,-1,-1,0,75,35,15,7,3,-5,15,5,3,1,0,2,0,3,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,-2,0,-2,1,0,48,20,8,4,0,6,2,2,-2,0,2,3,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,28,10,4,2,-4,1,1,1,1,1,-2,0,-2,1,0,-2,0,1,-1,-1,0,0,14,4,2,0,-1,1,-1,2,-2,0,1,-1,-1,0,0,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,0
s[1312111],896,560,320,160,64,16,0,0,0,428,230,104,34,4,-2,0,158,62,14,-2,-2,-2,32,2,-4,-2,-4,-4,-4,-4,320,160,64,16,0,0,0,104,34,4,-2,0,14,-2,-2,-2,-4,-2,-4,64,16,0,0,0,4,-2,0,-2,-2,0,0,0,0,0,231,105,35,5,-1,1,63,15,-1,-1,-1,3,-3,-1,-3,-3,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,16,0,0,0,-2,0,-2,0,0,1,160,64,16,0,0,0,34,4,-2,0,-2,-2,-2,-2,16,0,0,0,-2,0,-2,0,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,105,35,5,-1,1,15,-1,-1,-1,-3,-1,-3,5,-1,1,-1,-1,1,0,0,0,0,0,-1,1,-1,0,0,64,16,0,0,0,4,-2,0,-2,-2,0,0,0,0,0,-1,1,-1,0,0,1,0,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,1,0,16,0,0,0,-2,0,-2,0,0,1,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,1,0
s[13113],455,273,143,57,7,-15,-17,-7,7,221,111,41,3,-11,-9,1,86,30,2,-6,-2,6,23,3,-1,3,5,3,5,5,165,75,21,-5,-11,-5,5,57,15,-3,-5,1,12,0,0,4,3,3,3,35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,120,48,8,-8,-8,0,36,6,-4,-2,4,6,0,2,3,3,20,0,-4,0,2,0,2,2,0,0,0,10,-2,-2,2,1,1,1,0,0,0,84,28,0,-8,-4,4,21,1,-3,1,3,1,3,3,10,-2,-2,2,1,1,1,0,0,4,-2,0,1,1,0,-1,1,-1,1,1,-1,56,14,-4,-6,0,11,-1,-1,3,2,2,2,4,-2,0,1,1,0,1,-1,1,1,-1,0,0,0,0,0,35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,0,0,0,0,0,0,-1,20,0,-4,0,2,0,2,2,0,0,0,0,0,0,-1,10,-2,-2,2,1,1,1,0,0,0,-1,4,-2,0,1,1,0,-1,1,-1,1,1,-1,0,0,0,0,0,0,-1
s[12141],1260,714,384,198,100,50,24,14,28,441,219,105,51,25,11,9,108,48,24,12,4,8,18,12,6,0,9,3,-3,0,276,126,56,26,12,6,16,51,21,11,5,3,6,6,2,2,6,0,-3,16,6,4,2,8,1,3,1,4,0,0,2,4,3,4,165,69,29,13,5,5,21,9,5,1,5,3,3,-1,3,-3,1,1,1,1,1,1,1,1,1,1,1,-5,-1,-1,3,1,-1,-2,1,1,0,90,34,14,6,2,10,6,4,2,0,3,1,-1,0,-4,0,0,4,2,0,-1,2,2,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,42,14,6,2,2,0,2,0,2,3,-1,-3,-4,0,0,2,0,2,-3,-1,1,0,1,-1,-1,-1,0,0,14,4,2,0,6,-1,1,-1,2,-2,-2,0,2,1,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,-1,-1,-1,0,0,0,0
s[1213111],3900,2080,1000,420,148,40,0,-20,-20,1365,595,217,63,13,-5,-15,315,91,19,3,-5,-5,21,1,1,-3,-3,1,1,0,890,350,110,26,2,-10,-10,161,35,5,-1,-7,-1,-1,-1,-1,-1,-1,-1,68,8,0,-4,-4,-7,-1,-3,-1,-1,-6,-2,-2,-3,-4,550,190,50,10,-2,-10,70,10,2,-2,-2,-5,1,-1,1,1,20,0,0,-4,-4,0,0,-1,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,315,91,19,3,-5,-5,21,1,1,-3,-3,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,162,36,6,0,-6,0,0,0,0,0,0,0,-6,0,-2,0,0,-2,-3,1,1,0,-1,0,0,0,1,1,70,10,2,-2,-2,-5,1,-1,1,1,-4,0,0,-1,-2,0,0,0,1,1,0,0,21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,0,0,0,1,1,0,0
