Unnamed: 0_level_0,[117],[21115],[22113],[23111],[2419],[2517],[2615],[2713],[2811],[31114],[3121112],[3122110],[312318],[312416],[312514],[312612],[3127],[32111],[322119],[322217],[322315],[322413],[322511],[3318],[332116],[332214],[332312],[3324],[3415],[342113],[342211],[3512],[3521],[41113],[4121111],[412219],[412317],[412415],[412513],[412611],[4131110],[41312118],[41312216],[41312314],[41312412],[413125],[413217],[41322115],[41322213],[41322311],[413314],[41332112],[413322],[413411],[4219],[422117],[422215],[422313],[422411],[423116],[42312114],[42312212],[423123],[423213],[42322111],[4233],[4315],[432113],[432211],[433112],[433121],[4411],[51112],[5121110],[512218],[512316],[512414],[512512],[5126],[513119],[51312117],[51312215],[51312313],[51312411],[513216],[51322114],[51322212],[513223],[513313],[51332111],[5134],[514118],[51412116],[51412214],[51412312],[514124],[51413115],[5141312113],[5141312211],[51413212],[51413221],[514214],[51422112],[514222],[51423111],[5143],[5217],[522115],[522213],[522311],[523114],[52312112],[523122],[523211],[524113],[52412111],[524131],[5312],[5321],[61111],[612119],[612217],[612315],[612413],[612511],[613118],[61312116],[61312214],[61312312],[613124],[613215],[61322113],[61322211],[613312],[613321],[614117],[61412115],[61412213],[61412311],[61413114],[6141312112],[61413122],[61413211],[614213],[61422111],[614231],[615116],[61512114],[61512212],[615123],[61513113],[6151312111],[615132],[61514112],[61514121],[615211],[6215],[622113],[622211],[623112],[623121],[624111],[6251],[71110],[712118],[712216],[712314],[712412],[7125],[713117],[71312115],[71312213],[71312311],[713214],[71322112],[713222],[713311],[714116],[71412114],[71412212],[714123],[71413113],[7141312111],[714132],[714212],[714221],[715115],[71512113],[71512211],[71513112],[71513121],[71514111],[7152],[716114],[71612112],[716122],[71613111],[716141],[7213],[722111],[7231],[8119],[812117],[812215],[812313],[812411],[813116],[81312114],[81312212],[813123],[813213],[81322111],[8133],[814115],[81412113],[81412211],[81413112],[81413121],[814211],[815114],[81512112],[815122],[81513111],[815141],[816113],[81612111],[816131],[817112],[817121],[8211],[9118],[912116],[912214],[912312],[9124],[913115],[91312113],[91312211],[913212],[913221],[914114],[91412112],[914122],[91413111],[9142],[915113],[91512111],[915131],[916112],[916121],[917111],[9181],[10117],[1012115],[1012213],[1012311],[1013114],[101312112],[1013122],[1013211],[1014113],[101412111],[1014131],[1015112],[1015121],[1016111],[10171],[11116],[1112114],[1112212],[11123],[1113113],[111312111],[11132],[1114112],[1114121],[1115111],[11161],[12115],[1212113],[1212211],[1213112],[1213121],[1214111],[12151],[13114],[1312112],[13122],[1313111],[13141],[14113],[1412111],[14131],[15112],[15121],[16111],[171]
#,1,136,7140,185640,2552550,18378360,64324260,91891800,34459425,1360,123760,4084080,61261200,428828400,1286485200,1286485200,183783600,495040,27227200,490089600,3430627200,8576568000,5145940800,54454400,1524723200,11435424000,22870848000,5717712000,1524723200,15247232000,22870848000,6098892800,6098892800,14280,1113840,30630600,367567200,1929727800,3859455600,1929727800,8168160,367567200,5145940800,25729704000,38594556000,7718911200,980179200,20583763200,102918816000,102918816000,22870848000,137225088000,68612544000,45741696000,30630600,1102701600,11578366800,38594556000,28945917000,5145940800,77189112000,231567336000,77189112000,102918816000,308756448000,68612544000,7718911200,77189112000,115783668000,154378224000,154378224000,57891834000,148512,9801792,220540320,2058376320,7718911200,9262693440,1543782240,65345280,2352430080,24700515840,82335052800,61751289600,5489003520,82335052800,247005158400,82335052800,73186713600,219560140800,36593356800,441080640,12350257920,92626934400,185253868800,46313467200,49401031680,494010316800,741015475200,494010316800,494010316800,92626934400,555761606400,277880803200,741015475200,185253868800,1411458048,29640619008,148203095040,148203095040,98802063360,592812380160,296406190080,395208253440,296406190080,889218570240,592812380160,237124952064,237124952064,1485120,81681600,1470268800,10291881600,25729704000,15437822400,490089600,13722508800,102918816000,205837632000,51459408000,27445017600,274450176000,411675264000,182966784000,182966784000,2940537600,61751289600,308756448000,308756448000,205837632000,1235025792000,617512896000,823350528000,308756448000,926269344000,617512896000,16467010560,247005158400,741015475200,247005158400,658680422400,1976041267200,658680422400,1482030950400,1482030950400,1185624760320,41167526400,411675264000,617512896000,823350528000,823350528000,1235025792000,988020633600,14002560,630115200,8821612800,44108064000,66162096000,13232419200,3360614400,70572902400,352864512000,352864512000,117621504000,705729024000,352864512000,313657344000,17643225600,264648384000,793945152000,264648384000,705729024000,2117187072000,705729024000,793945152000,793945152000,84687482880,846874828800,1270312243200,1693749657600,1693749657600,2540624486400,1016249794560,352864512000,2117187072000,1058593536000,2822916096000,2117187072000,604910592000,1814731776000,1209821184000,122522400,4410806400,46313467200,154378224000,115783668000,20583763200,308756448000,926269344000,308756448000,411675264000,1235025792000,274450176000,92626934400,926269344000,1389404016000,1852538688000,1852538688000,1389404016000,370507737600,2223046425600,1111523212800,2964061900800,2223046425600,1235025792000,3705077376000,2470051584000,3175780608000,3175780608000,2778808032000,980179200,27445017600,205837632000,411675264000,102918816000,109780070400,1097800704000,1646701056000,1097800704000,1097800704000,411675264000,2470051584000,1235025792000,3293402112000,1235025792000,1317360844800,3952082534400,2634721689600,3293402112000,3293402112000,5645832192000,4940103168000,7057290240,148203095040,741015475200,741015475200,494010316800,2964061900800,1482030950400,1976041267200,1482030950400,4446092851200,2964061900800,3556874280960,3556874280960,5928123801600,5081248972800,44910028800,673650432000,2020951296000,673650432000,1796401152000,5389203456000,1796401152000,4041902592000,4041902592000,6467044147200,5389203456000,247005158400,2470051584000,3705077376000,4940103168000,4940103168000,7410154752000,5928123801600,1140023808000,6840142848000,3420071424000,9120190464000,6840142848000,4234374144000,12703122432000,8468748288000,11856247603200,11856247603200,22230464256000,20922789888000
s[171],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s[16111],16,14,12,10,8,6,4,2,0,13,11,9,7,5,3,1,-1,10,8,6,4,2,0,7,5,3,1,-1,4,2,0,1,-1,12,10,8,6,4,2,0,9,7,5,3,1,-1,6,4,2,0,3,1,-1,0,8,6,4,2,0,5,3,1,-1,2,0,-1,4,2,0,1,-1,0,11,9,7,5,3,1,-1,8,6,4,2,0,5,3,1,-1,2,0,-1,7,5,3,1,-1,4,2,0,1,-1,3,1,-1,0,-1,6,4,2,0,3,1,-1,0,2,0,-1,1,-1,10,8,6,4,2,0,7,5,3,1,-1,4,2,0,1,-1,6,4,2,0,3,1,-1,0,2,0,-1,5,3,1,-1,2,0,-1,1,-1,0,4,2,0,1,-1,0,-1,9,7,5,3,1,-1,6,4,2,0,3,1,-1,0,5,3,1,-1,2,0,-1,1,-1,4,2,0,1,-1,0,-1,3,1,-1,0,-1,2,0,-1,8,6,4,2,0,5,3,1,-1,2,0,-1,4,2,0,1,-1,0,3,1,-1,0,-1,2,0,-1,1,-1,0,7,5,3,1,-1,4,2,0,1,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1,6,4,2,0,3,1,-1,0,2,0,-1,1,-1,0,-1,5,3,1,-1,2,0,-1,1,-1,0,-1,4,2,0,1,-1,0,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1
s[15121],119,91,67,47,31,19,11,7,7,77,55,37,23,13,7,5,7,44,28,16,8,4,4,20,10,4,2,4,5,1,1,-1,1,65,45,29,17,9,5,5,35,21,11,5,3,5,14,6,2,2,2,0,2,-1,27,15,7,3,3,9,3,1,3,0,0,0,5,1,1,-1,1,-1,54,36,22,12,6,4,6,27,15,7,3,3,9,3,1,3,0,0,0,20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,14,6,2,2,2,0,2,-1,0,0,0,-1,1,44,28,16,8,4,4,20,10,4,2,4,5,1,1,-1,1,14,6,2,2,2,0,2,-1,0,0,0,9,3,1,3,0,0,0,-1,1,-1,5,1,1,-1,1,-1,0,35,21,11,5,3,5,14,6,2,2,2,0,2,-1,9,3,1,3,0,0,0,-1,1,5,1,1,-1,1,-1,0,2,0,2,-1,0,0,0,0,27,15,7,3,3,9,3,1,3,0,0,0,5,1,1,-1,1,-1,2,0,2,-1,0,0,0,0,-1,1,-1,20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,0,0,0,-1,1,-1,0,14,6,2,2,2,0,2,-1,0,0,0,-1,1,-1,0,9,3,1,3,0,0,0,-1,1,-1,0,5,1,1,-1,1,-1,0,2,0,2,-1,0,0,0,0,-1,1,-1,0
s[15112],120,90,64,42,24,10,0,-6,-8,78,54,34,18,6,-2,-6,-6,45,27,13,3,-3,-5,21,9,1,-3,-3,6,0,-2,0,0,66,44,26,12,2,-4,-6,36,20,8,0,-4,-4,15,5,-1,-3,3,-1,-1,0,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,6,0,-2,0,0,0,55,35,19,7,-1,-5,-5,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,21,9,1,-3,-3,6,0,-2,0,0,3,-1,-1,0,1,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,45,27,13,3,-3,-5,21,9,1,-3,-3,6,0,-2,0,0,15,5,-1,-3,3,-1,-1,0,1,-1,1,10,2,-2,-2,1,-1,1,0,0,0,6,0,-2,0,0,0,1,36,20,8,0,-4,-4,15,5,-1,-3,3,-1,-1,0,10,2,-2,-2,1,-1,1,0,0,6,0,-2,0,0,0,1,3,-1,-1,0,1,1,-1,1,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,6,0,-2,0,0,0,3,-1,-1,0,1,1,-1,1,0,0,0,21,9,1,-3,-3,6,0,-2,0,0,3,-1,-1,0,1,1,-1,1,0,0,0,1,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,0,1,10,2,-2,-2,1,-1,1,0,0,0,1,6,0,-2,0,0,0,1,3,-1,-1,0,1,1,-1,1,0,0,0,1
s[14131],544,364,232,140,80,44,24,12,0,274,166,94,50,26,14,6,-6,112,58,28,14,8,2,31,13,7,5,-1,4,4,4,4,4,208,120,64,32,16,8,0,76,36,16,8,4,-4,16,6,4,2,1,3,1,4,48,20,8,4,0,6,2,2,-2,0,2,3,0,0,0,0,0,0,154,84,42,20,10,4,-6,49,21,9,5,1,7,3,3,-1,1,3,4,28,10,4,2,-4,1,1,1,1,1,-2,0,-2,1,0,14,4,2,0,-1,1,-1,2,-2,0,1,-1,-1,110,56,26,12,6,0,29,11,5,3,-3,2,2,2,2,2,14,4,2,0,-1,1,-1,2,-2,0,1,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,75,35,15,7,3,-5,15,5,3,1,0,2,0,3,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,48,20,8,4,0,6,2,2,-2,0,2,3,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,28,10,4,2,-4,1,1,1,1,1,-2,0,-2,1,0,-2,0,1,-1,-1,0,0,14,4,2,0,-1,1,-1,2,-2,0,1,-1,-1,0,0,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,0
s[1412111],1105,715,429,231,105,35,5,-1,1,559,319,159,63,15,-1,-1,-1,229,103,33,3,-3,-1,61,13,-3,-3,-3,1,-5,-3,-5,-5,429,231,105,35,5,-1,1,159,63,15,-1,-1,-1,33,3,-3,-1,-3,-3,-3,-3,105,35,5,-1,1,15,-1,-1,-1,-3,-1,-3,5,-1,1,-1,-1,1,320,160,64,16,0,0,0,104,34,4,-2,0,14,-2,-2,-2,-4,-2,-4,64,16,0,0,0,4,-2,0,-2,-2,0,0,0,0,0,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,231,105,35,5,-1,1,63,15,-1,-1,-1,3,-3,-1,-3,-3,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,16,0,0,0,-2,0,-2,0,0,1,5,-1,1,-1,-1,1,0,160,64,16,0,0,0,34,4,-2,0,-2,-2,-2,-2,16,0,0,0,-2,0,-2,0,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,105,35,5,-1,1,15,-1,-1,-1,-3,-1,-3,5,-1,1,-1,-1,1,0,0,0,0,0,-1,1,-1,0,0,1,64,16,0,0,0,4,-2,0,-2,-2,0,0,0,0,0,-1,1,-1,0,0,1,0,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,1,0,16,0,0,0,-2,0,-2,0,0,1,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,1,0
s[14113],560,350,196,90,24,-10,-20,-14,0,287,155,67,15,-9,-13,-5,7,122,50,10,-6,-6,2,38,8,-2,0,6,8,2,4,5,5,220,110,40,2,-12,-10,0,85,29,1,-7,-3,5,22,2,-2,2,4,2,4,4,56,14,-4,-6,0,11,-1,-1,3,2,2,2,4,-2,0,1,1,0,165,75,21,-5,-11,-5,5,57,15,-3,-5,1,12,0,0,4,3,3,3,35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,20,0,-4,0,2,0,2,2,0,0,0,0,0,120,48,8,-8,-8,0,36,6,-4,-2,4,6,0,2,3,3,20,0,-4,0,2,0,2,2,0,0,0,10,-2,-2,2,1,1,1,0,0,0,4,-2,0,1,1,0,-1,84,28,0,-8,-4,4,21,1,-3,1,3,1,3,3,10,-2,-2,2,1,1,1,0,0,4,-2,0,1,1,0,-1,1,-1,1,1,-1,0,0,0,56,14,-4,-6,0,11,-1,-1,3,2,2,2,4,-2,0,1,1,0,1,-1,1,1,-1,0,0,0,0,0,0,35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,0,0,0,0,0,0,-1,20,0,-4,0,2,0,2,2,0,0,0,0,0,0,-1,10,-2,-2,2,1,1,1,0,0,0,-1,4,-2,0,1,1,0,-1,1,-1,1,1,-1,0,0,0,0,0,0,-1
s[13141],1700,1000,560,300,156,80,40,20,20,650,340,170,84,42,20,10,20,185,85,41,21,9,5,35,19,11,3,3,11,7,-1,5,-5,430,210,98,46,22,10,10,100,42,20,10,4,10,13,9,5,1,7,3,-1,1,44,16,8,4,4,2,4,2,4,5,1,-1,-2,2,2,4,2,4,275,125,55,25,11,5,15,50,20,10,4,2,5,5,1,1,5,-1,-4,15,5,3,1,7,0,2,0,3,-1,-1,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,165,69,29,13,5,5,21,9,5,1,5,3,3,-1,3,-3,1,1,1,1,1,1,1,1,1,1,1,-5,-1,-1,3,1,-1,-2,1,1,0,-5,-1,-1,1,-1,1,0,90,34,14,6,2,10,6,4,2,0,3,1,-1,0,-4,0,0,4,2,0,-1,2,2,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,-1,-1,-1,42,14,6,2,2,0,2,0,2,3,-1,-3,-4,0,0,2,0,2,-3,-1,1,0,1,-1,-1,-1,0,0,0,14,4,2,0,6,-1,1,-1,2,-2,-2,0,2,1,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,-1,-1,-1,0,0,0,0
s[1313111],5236,2926,1496,682,268,86,16,-14,-28,2002,946,386,130,34,2,-14,-14,550,190,50,10,-2,-10,70,10,2,-2,-2,-5,1,-1,1,1,1364,594,216,62,12,-6,-16,314,90,18,2,-6,-6,20,0,0,-4,-4,0,0,-1,160,34,4,-2,-8,-2,-2,-2,-2,-2,-2,-2,-8,-2,-4,-2,-2,-4,891,351,111,27,3,-9,-9,162,36,6,0,-6,0,0,0,0,0,0,0,69,9,1,-3,-3,-6,0,-2,0,0,-5,-1,-1,-2,-3,21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,550,190,50,10,-2,-10,70,10,2,-2,-2,-5,1,-1,1,1,20,0,0,-4,-4,0,0,-1,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,-5,1,-1,1,1,-1,0,315,91,19,3,-5,-5,21,1,1,-3,-3,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,0,0,0,162,36,6,0,-6,0,0,0,0,0,0,0,-6,0,-2,0,0,-2,-3,1,1,0,-1,0,0,0,1,1,0,70,10,2,-2,-2,-5,1,-1,1,1,-4,0,0,-1,-2,0,0,0,1,1,0,0,21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,0,0,0,1,1,0,0
