Unnamed: 0_level_0,[118],[21116],[22114],[23112],[24110],[2518],[2616],[2714],[2812],[29],[31115],[3121113],[3122111],[312319],[312417],[312515],[312613],[312711],[32112],[3221110],[322218],[322316],[322414],[322512],[3226],[3319],[332117],[332215],[332313],[332411],[3416],[342114],[342212],[3423],[3513],[352111],[36],[41114],[4121112],[4122110],[412318],[412416],[412514],[412612],[4127],[4131111],[41312119],[41312217],[41312315],[41312413],[41312511],[413218],[41322116],[41322214],[41322312],[413224],[413315],[41332113],[41332211],[413412],[413421],[42110],[422118],[422216],[422314],[422412],[4225],[423117],[42312115],[42312213],[42312311],[423214],[42322112],[423222],[423311],[4316],[432114],[432212],[4323],[433113],[43312111],[4332],[4412],[4421],[51113],[5121111],[512219],[512317],[512415],[512513],[512611],[5131110],[51312118],[51312216],[51312314],[51312412],[513125],[513217],[51322115],[51322213],[51322311],[513314],[51332112],[513322],[513411],[514119],[51412117],[51412215],[51412313],[51412411],[51413116],[5141312114],[5141312212],[51413123],[51413213],[5141322111],[514133],[514215],[51422113],[51422211],[51423112],[51423121],[514311],[5218],[522116],[522214],[522312],[5224],[523115],[52312113],[52312211],[523212],[523221],[524114],[52412112],[524122],[52413111],[5242],[5313],[532111],[5331],[61112],[6121110],[612218],[612316],[612414],[612512],[6126],[613119],[61312117],[61312215],[61312313],[61312411],[613216],[61322114],[61322212],[613223],[613313],[61332111],[6134],[614118],[61412116],[61412214],[61412312],[614124],[61413115],[6141312113],[6141312211],[61413212],[61413221],[614214],[61422112],[614222],[61423111],[6143],[615117],[61512115],[61512213],[61512311],[61513114],[6151312112],[61513122],[61513211],[61514113],[6151412111],[61514131],[615212],[615221],[6216],[622114],[622212],[6223],[623113],[62312111],[6232],[624112],[624121],[625111],[63],[71111],[712119],[712217],[712315],[712413],[712511],[713118],[71312116],[71312214],[71312312],[713124],[713215],[71322113],[71322211],[713312],[713321],[714117],[71412115],[71412213],[71412311],[71413114],[7141312112],[71413122],[71413211],[714213],[71422111],[714231],[715116],[71512114],[71512212],[715123],[71513113],[7151312111],[715132],[71514112],[71514121],[715211],[716115],[71612113],[71612211],[71613112],[71613121],[71614111],[716151],[7214],[722112],[7222],[723111],[7241],[81110],[812118],[812216],[812314],[812412],[8125],[813117],[81312115],[81312213],[81312311],[813214],[81322112],[813222],[813311],[814116],[81412114],[81412212],[814123],[81413113],[8141312111],[814132],[814212],[814221],[815115],[81512113],[81512211],[81513112],[81513121],[81514111],[8152],[816114],[81612112],[816122],[81613111],[816141],[817113],[81712111],[817131],[8212],[8221],[9119],[912117],[912215],[912313],[912411],[913116],[91312114],[91312212],[913123],[913213],[91322111],[9133],[914115],[91412113],[91412211],[91413112],[91413121],[914211],[915114],[91512112],[915122],[91513111],[915141],[916113],[91612111],[916131],[917112],[917121],[918111],[92],[10118],[1012116],[1012214],[1012312],[10124],[1013115],[101312113],[101312211],[1013212],[1013221],[1014114],[101412112],[1014122],[101413111],[10142],[1015113],[101512111],[1015131],[1016112],[1016121],[1017111],[10181],[11117],[1112115],[1112213],[1112311],[1113114],[111312112],[1113122],[1113211],[1114113],[111412111],[1114131],[1115112],[1115121],[1116111],[11171],[12116],[1212114],[1212212],[12123],[1213113],[121312111],[12132],[1214112],[1214121],[1215111],[12161],[13115],[1312113],[1312211],[1313112],[1313121],[1314111],[13151],[14114],[1412112],[14122],[1413111],[14141],[15113],[1512111],[15131],[16112],[16121],[17111],[181]
#,1,153,9180,278460,4594590,41351310,192972780,413513100,310134825,34459425,1632,171360,6683040,122522400,1102701600,4631346720,7718911200,3308104800,742560,49008960,1102701600,10291881600,38594556000,46313467200,7718911200,108908800,3920716800,41167526400,137225088000,102918816000,4574169600,68612544000,205837632000,68612544000,36593356800,109780070400,12197785600,18360,1670760,55135080,827026200,5789183400,17367550200,17367550200,2481078600,13366080,735134400,13232419200,92626934400,231567336000,138940401600,2205403200,61751289600,463134672000,926269344000,231567336000,82335052800,823350528000,1235025792000,411675264000,411675264000,55135080,2481078600,34735100400,173675502000,260513253000,52102650600,13232419200,277880803200,1389404016000,1389404016000,463134672000,2778808032000,1389404016000,1235025792000,23156733600,347351004000,1042053012000,347351004000,926269344000,2778808032000,926269344000,521026506000,521026506000,205632,16039296,441080640,5292967680,27788080320,55576160640,27788080320,117621504,5292967680,74101547520,370507737600,555761606400,111152321280,14114580480,296406190080,1482030950400,1482030950400,329340211200,1976041267200,988020633600,658680422400,882161280,31757806080,333456963840,1111523212800,833642409600,148203095040,2223046425600,6669139276800,2223046425600,2964061900800,8892185702400,1976041267200,333456963840,3334569638400,5001854457600,6669139276800,6669139276800,3334569638400,3175780608,88921857024,666913927680,1333827855360,333456963840,355687428096,3556874280960,5335311421440,3556874280960,3556874280960,1333827855360,8002967132160,4001483566080,10670622842880,4001483566080,1422749712384,4268249137152,2845499424768,2227680,147026880,3308104800,30875644800,115783668000,138940401600,23156733600,980179200,35286451200,370507737600,1235025792000,926269344000,82335052800,1235025792000,3705077376000,1235025792000,1097800704000,3293402112000,548900352000,6616209600,185253868800,1389404016000,2778808032000,694702008000,741015475200,7410154752000,11115232128000,7410154752000,7410154752000,1389404016000,8336424096000,4168212048000,11115232128000,2778808032000,42343741440,889218570240,4446092851200,4446092851200,2964061900800,17784371404800,8892185702400,11856247603200,8892185702400,26676557107200,17784371404800,10670622842880,10670622842880,123502579200,1852538688000,5557616064000,1852538688000,4940103168000,14820309504000,4940103168000,11115232128000,11115232128000,17784371404800,4940103168000,22913280,1260230400,22684147200,158789030400,396972576000,238183545600,7561382400,211718707200,1587890304000,3175780608000,793945152000,423437414400,4234374144000,6351561216000,2822916096000,2822916096000,45368294400,952734182400,4763670912000,4763670912000,3175780608000,19054683648000,9527341824000,12703122432000,4763670912000,14291012736000,9527341824000,254062448640,3810936729600,11432810188800,3810936729600,10162497945600,30487493836800,10162497945600,22865620377600,22865620377600,18292496302080,1270312243200,12703122432000,19054683648000,25406244864000,25406244864000,38109367296000,30487493836800,2722097664000,16332585984000,8166292992000,21776781312000,16332585984000,220540320,9924314400,138940401600,694702008000,1042053012000,208410602400,52929676800,1111523212800,5557616064000,5557616064000,1852538688000,11115232128000,5557616064000,4940103168000,277880803200,4168212048000,12504636144000,4168212048000,11115232128000,33345696384000,11115232128000,12504636144000,12504636144000,1333827855360,13338278553600,20007417830400,26676557107200,26676557107200,40014835660800,16005934264320,5557616064000,33345696384000,16672848192000,44460928512000,33345696384000,19054683648000,57164050944000,38109367296000,25009272288000,25009272288000,1960358400,70572902400,741015475200,2470051584000,1852538688000,329340211200,4940103168000,14820309504000,4940103168000,6586804224000,19760412672000,4391202816000,1482030950400,14820309504000,22230464256000,29640619008000,29640619008000,22230464256000,5928123801600,35568742809600,17784371404800,47424990412800,35568742809600,19760412672000,59281238016000,39520825344000,50812489728000,50812489728000,88921857024000,39520825344000,15878903040,444609285120,3334569638400,6669139276800,1667284819200,1778437140480,17784371404800,26676557107200,17784371404800,17784371404800,6669139276800,40014835660800,20007417830400,53353114214400,20007417830400,21341245685760,64023737057280,42682491371520,53353114214400,53353114214400,91462481510400,80029671321600,115482931200,2425141555200,12125707776000,12125707776000,8083805184000,48502831104000,24251415552000,32335220736000,24251415552000,72754246656000,48502831104000,58203397324800,58203397324800,97005662208000,83147710464000,741015475200,11115232128000,33345696384000,11115232128000,29640619008000,88921857024000,29640619008000,66691392768000,66691392768000,106706228428800,88921857024000,4104085708800,41040857088000,61561285632000,82081714176000,82081714176000,123122571264000,98498057011200,19054683648000,114328101888000,57164050944000,152437469184000,114328101888000,71137485619200,213412456857600,142274971238400,200074178304000,200074178304000,376610217984000,355687428096000
s[181],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s[17111],17,15,13,11,9,7,5,3,1,-1,14,12,10,8,6,4,2,0,11,9,7,5,3,1,-1,8,6,4,2,0,5,3,1,-1,2,0,-1,13,11,9,7,5,3,1,-1,10,8,6,4,2,0,7,5,3,1,-1,4,2,0,1,-1,9,7,5,3,1,-1,6,4,2,0,3,1,-1,0,5,3,1,-1,2,0,-1,1,-1,12,10,8,6,4,2,0,9,7,5,3,1,-1,6,4,2,0,3,1,-1,0,8,6,4,2,0,5,3,1,-1,2,0,-1,4,2,0,1,-1,0,7,5,3,1,-1,4,2,0,1,-1,3,1,-1,0,-1,2,0,-1,11,9,7,5,3,1,-1,8,6,4,2,0,5,3,1,-1,2,0,-1,7,5,3,1,-1,4,2,0,1,-1,3,1,-1,0,-1,6,4,2,0,3,1,-1,0,2,0,-1,1,-1,5,3,1,-1,2,0,-1,1,-1,0,-1,10,8,6,4,2,0,7,5,3,1,-1,4,2,0,1,-1,6,4,2,0,3,1,-1,0,2,0,-1,5,3,1,-1,2,0,-1,1,-1,0,4,2,0,1,-1,0,-1,3,1,-1,0,-1,9,7,5,3,1,-1,6,4,2,0,3,1,-1,0,5,3,1,-1,2,0,-1,1,-1,4,2,0,1,-1,0,-1,3,1,-1,0,-1,2,0,-1,1,-1,8,6,4,2,0,5,3,1,-1,2,0,-1,4,2,0,1,-1,0,3,1,-1,0,-1,2,0,-1,1,-1,0,-1,7,5,3,1,-1,4,2,0,1,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1,6,4,2,0,3,1,-1,0,2,0,-1,1,-1,0,-1,5,3,1,-1,2,0,-1,1,-1,0,-1,4,2,0,1,-1,0,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1
s[16121],135,105,79,57,39,25,15,9,7,9,90,66,46,30,18,10,6,6,54,36,22,12,6,4,6,27,15,7,3,3,9,3,1,3,0,0,0,77,55,37,23,13,7,5,7,44,28,16,8,4,4,20,10,4,2,4,5,1,1,-1,1,35,21,11,5,3,5,14,6,2,2,2,0,2,-1,9,3,1,3,0,0,0,-1,1,65,45,29,17,9,5,5,35,21,11,5,3,5,14,6,2,2,2,0,2,-1,27,15,7,3,3,9,3,1,3,0,0,0,5,1,1,-1,1,-1,20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,0,0,0,54,36,22,12,6,4,6,27,15,7,3,3,9,3,1,3,0,0,0,20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,14,6,2,2,2,0,2,-1,0,0,0,-1,1,9,3,1,3,0,0,0,-1,1,-1,0,44,28,16,8,4,4,20,10,4,2,4,5,1,1,-1,1,14,6,2,2,2,0,2,-1,0,0,0,9,3,1,3,0,0,0,-1,1,-1,5,1,1,-1,1,-1,0,2,0,2,-1,0,35,21,11,5,3,5,14,6,2,2,2,0,2,-1,9,3,1,3,0,0,0,-1,1,5,1,1,-1,1,-1,0,2,0,2,-1,0,0,0,0,-1,1,27,15,7,3,3,9,3,1,3,0,0,0,5,1,1,-1,1,-1,2,0,2,-1,0,0,0,0,-1,1,-1,0,20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,0,0,0,-1,1,-1,0,14,6,2,2,2,0,2,-1,0,0,0,-1,1,-1,0,9,3,1,3,0,0,0,-1,1,-1,0,5,1,1,-1,1,-1,0,2,0,2,-1,0,0,0,0,-1,1,-1,0
s[16112],136,104,76,52,32,16,4,-4,-8,-8,91,65,43,25,11,1,-5,-7,55,35,19,7,-1,-5,-5,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,78,54,34,18,6,-2,-6,-6,45,27,13,3,-3,-5,21,9,1,-3,-3,6,0,-2,0,0,36,20,8,0,-4,-4,15,5,-1,-3,3,-1,-1,0,10,2,-2,-2,1,-1,1,0,0,66,44,26,12,2,-4,-6,36,20,8,0,-4,-4,15,5,-1,-3,3,-1,-1,0,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,6,0,-2,0,0,0,21,9,1,-3,-3,6,0,-2,0,0,3,-1,-1,0,1,1,-1,1,55,35,19,7,-1,-5,-5,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,21,9,1,-3,-3,6,0,-2,0,0,3,-1,-1,0,1,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,10,2,-2,-2,1,-1,1,0,0,0,1,45,27,13,3,-3,-5,21,9,1,-3,-3,6,0,-2,0,0,15,5,-1,-3,3,-1,-1,0,1,-1,1,10,2,-2,-2,1,-1,1,0,0,0,6,0,-2,0,0,0,1,3,-1,-1,0,1,36,20,8,0,-4,-4,15,5,-1,-3,3,-1,-1,0,10,2,-2,-2,1,-1,1,0,0,6,0,-2,0,0,0,1,3,-1,-1,0,1,1,-1,1,0,0,28,14,4,-2,-4,10,2,-2,-2,1,-1,1,6,0,-2,0,0,0,3,-1,-1,0,1,1,-1,1,0,0,0,1,21,9,1,-3,-3,6,0,-2,0,0,3,-1,-1,0,1,1,-1,1,0,0,0,1,15,5,-1,-3,3,-1,-1,0,1,-1,1,0,0,0,1,10,2,-2,-2,1,-1,1,0,0,0,1,6,0,-2,0,0,0,1,3,-1,-1,0,1,1,-1,1,0,0,0,1
s[15131],663,455,299,187,111,63,35,19,7,-9,351,221,131,73,39,21,11,1,156,86,44,22,12,6,-4,51,23,11,7,3,9,5,5,1,3,5,6,273,165,93,49,25,13,5,-7,111,57,27,13,7,1,30,12,6,4,-2,3,3,3,3,3,75,35,15,7,3,-5,15,5,3,1,0,2,0,3,5,1,1,-3,-1,1,2,-1,-1,208,120,64,32,16,8,0,76,36,16,8,4,-4,16,6,4,2,1,3,1,4,48,20,8,4,0,6,2,2,-2,0,2,3,0,0,0,0,0,0,28,10,4,2,-4,1,1,1,1,1,-2,0,-2,1,0,-2,0,1,154,84,42,20,10,4,-6,49,21,9,5,1,7,3,3,-1,1,3,4,28,10,4,2,-4,1,1,1,1,1,-2,0,-2,1,0,14,4,2,0,-1,1,-1,2,-2,0,1,-1,-1,5,1,1,-3,-1,1,2,-1,-1,0,0,110,56,26,12,6,0,29,11,5,3,-3,2,2,2,2,2,14,4,2,0,-1,1,-1,2,-2,0,1,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,-2,0,-2,1,0,75,35,15,7,3,-5,15,5,3,1,0,2,0,3,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,48,20,8,4,0,6,2,2,-2,0,2,3,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,0,28,10,4,2,-4,1,1,1,1,1,-2,0,-2,1,0,-2,0,1,-1,-1,0,0,14,4,2,0,-1,1,-1,2,-2,0,1,-1,-1,0,0,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,0
s[1512111],1344,896,560,320,160,64,16,0,0,0,714,428,230,104,34,4,-2,0,318,158,62,14,-2,-2,-2,102,32,2,-4,-2,12,-4,-4,-4,-6,-4,-6,560,320,160,64,16,0,0,0,230,104,34,4,-2,0,62,14,-2,-2,-2,2,-4,-2,-4,-4,160,64,16,0,0,0,34,4,-2,0,-2,-2,-2,-2,16,0,0,0,-2,0,-2,0,0,429,231,105,35,5,-1,1,159,63,15,-1,-1,-1,33,3,-3,-1,-3,-3,-3,-3,105,35,5,-1,1,15,-1,-1,-1,-3,-1,-3,5,-1,1,-1,-1,1,64,16,0,0,0,4,-2,0,-2,-2,0,0,0,0,0,-1,1,-1,320,160,64,16,0,0,0,104,34,4,-2,0,14,-2,-2,-2,-4,-2,-4,64,16,0,0,0,4,-2,0,-2,-2,0,0,0,0,0,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,16,0,0,0,-2,0,-2,0,0,1,0,231,105,35,5,-1,1,63,15,-1,-1,-1,3,-3,-1,-3,-3,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,16,0,0,0,-2,0,-2,0,0,1,5,-1,1,-1,-1,1,0,0,0,0,0,0,160,64,16,0,0,0,34,4,-2,0,-2,-2,-2,-2,16,0,0,0,-2,0,-2,0,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,105,35,5,-1,1,15,-1,-1,-1,-3,-1,-3,5,-1,1,-1,-1,1,0,0,0,0,0,-1,1,-1,0,0,1,0,64,16,0,0,0,4,-2,0,-2,-2,0,0,0,0,0,-1,1,-1,0,0,1,0,35,5,-1,1,-1,-1,-1,-1,-1,1,-1,0,0,1,0,16,0,0,0,-2,0,-2,0,0,1,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,1,0
s[15113],680,440,260,132,48,0,-20,-20,-8,8,365,209,101,33,-3,-15,-11,1,167,77,23,-3,-9,-3,7,59,17,-1,-3,3,14,2,2,6,5,5,5,286,154,66,14,-10,-14,-6,6,121,49,9,-7,-7,1,37,7,-3,-1,5,7,1,3,4,4,84,28,0,-8,-4,4,21,1,-3,1,3,1,3,3,10,-2,-2,2,1,1,1,0,0,220,110,40,2,-12,-10,0,85,29,1,-7,-3,5,22,2,-2,2,4,2,4,4,56,14,-4,-6,0,11,-1,-1,3,2,2,2,4,-2,0,1,1,0,35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,0,0,0,165,75,21,-5,-11,-5,5,57,15,-3,-5,1,12,0,0,4,3,3,3,35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,20,0,-4,0,2,0,2,2,0,0,0,0,0,10,-2,-2,2,1,1,1,0,0,0,-1,120,48,8,-8,-8,0,36,6,-4,-2,4,6,0,2,3,3,20,0,-4,0,2,0,2,2,0,0,0,10,-2,-2,2,1,1,1,0,0,0,4,-2,0,1,1,0,-1,1,-1,1,1,-1,84,28,0,-8,-4,4,21,1,-3,1,3,1,3,3,10,-2,-2,2,1,1,1,0,0,4,-2,0,1,1,0,-1,1,-1,1,1,-1,0,0,0,0,0,56,14,-4,-6,0,11,-1,-1,3,2,2,2,4,-2,0,1,1,0,1,-1,1,1,-1,0,0,0,0,0,0,-1,35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,0,0,0,0,0,0,-1,20,0,-4,0,2,0,2,2,0,0,0,0,0,0,-1,10,-2,-2,2,1,1,1,0,0,0,-1,4,-2,0,1,1,0,-1,1,-1,1,1,-1,0,0,0,0,0,0,-1
s[14141],2244,1364,792,440,236,124,64,32,20,36,924,506,264,134,68,34,16,14,297,143,69,35,17,7,13,66,32,18,8,2,15,11,3,-1,9,-1,-6,638,330,162,78,38,18,10,22,176,78,36,18,8,6,29,15,9,3,5,8,6,0,5,-3,92,36,16,8,4,12,8,6,4,2,5,3,1,2,-2,2,2,6,4,2,1,4,4,429,209,97,45,21,9,9,99,41,19,9,3,9,12,8,4,0,6,2,-2,0,43,15,7,3,3,1,3,1,3,4,0,-2,-3,1,1,3,1,3,14,4,2,0,6,-1,1,-1,2,-2,-2,0,2,1,2,-1,-1,-1,275,125,55,25,11,5,15,50,20,10,4,2,5,5,1,1,5,-1,-4,15,5,3,1,7,0,2,0,3,-1,-1,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,165,69,29,13,5,5,21,9,5,1,5,3,3,-1,3,-3,1,1,1,1,1,1,1,1,1,1,1,-5,-1,-1,3,1,-1,-2,1,1,0,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,90,34,14,6,2,10,6,4,2,0,3,1,-1,0,-4,0,0,4,2,0,-1,2,2,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,-1,-1,-1,0,0,42,14,6,2,2,0,2,0,2,3,-1,-3,-4,0,0,2,0,2,-3,-1,1,0,1,-1,-1,-1,0,0,0,0,14,4,2,0,6,-1,1,-1,2,-2,-2,0,2,1,2,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,-1,-1,-1,0,0,0,0
s[1413111],6885,4005,2157,1053,453,165,45,-3,-27,-27,2835,1431,639,243,75,15,-9,-21,891,351,111,27,3,-9,-9,162,36,6,0,-6,0,0,0,0,0,0,0,2001,945,385,129,33,1,-15,-15,549,189,49,9,-3,-11,69,9,1,-3,-3,-6,0,-2,0,0,313,89,17,1,-7,-7,19,-1,-1,-5,-5,-1,-1,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,1365,595,217,63,13,-5,-15,315,91,19,3,-5,-5,21,1,1,-3,-3,1,1,0,161,35,5,-1,-7,-1,-1,-1,-1,-1,-1,-1,-7,-1,-3,-1,-1,-3,70,10,2,-2,-2,-5,1,-1,1,1,-4,0,0,-1,-2,0,0,0,891,351,111,27,3,-9,-9,162,36,6,0,-6,0,0,0,0,0,0,0,69,9,1,-3,-3,-6,0,-2,0,0,-5,-1,-1,-2,-3,21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,550,190,50,10,-2,-10,70,10,2,-2,-2,-5,1,-1,1,1,20,0,0,-4,-4,0,0,-1,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,315,91,19,3,-5,-5,21,1,1,-3,-3,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,0,0,0,1,1,162,36,6,0,-6,0,0,0,0,0,0,0,-6,0,-2,0,0,-2,-3,1,1,0,-1,0,0,0,1,1,0,0,70,10,2,-2,-2,-5,1,-1,1,1,-4,0,0,-1,-2,0,0,0,1,1,0,0,21,1,1,-3,-3,1,1,0,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,0,0,0,1,1,0,0
