Unnamed: 0_level_0,[18],[2116],[2214],[2312],[24],[3115],[312113],[312211],[3212],[3221],[4114],[412112],[4122],[413111],[42],[5113],[512111],[5131],[6112],[6121],[7111],[81]
#,1,28,210,420,105,112,1120,1680,1120,1120,420,2520,1260,3360,1260,1344,4032,2688,3360,3360,5760,5040
s[81],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s[7111],7,5,3,1,-1,4,2,0,1,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1
s[6121],20,10,4,2,4,5,1,1,-1,1,2,0,2,-1,0,0,0,0,-1,1,-1,0
s[6112],21,9,1,-3,-3,6,0,-2,0,0,3,-1,-1,0,1,1,-1,1,0,0,0,1
s[5131],28,10,4,2,-4,1,1,1,1,1,-2,0,-2,1,0,-2,0,1,-1,-1,0,0
s[512111],64,16,0,0,0,4,-2,0,-2,-2,0,0,0,0,0,-1,1,-1,0,0,1,0
s[5113],35,5,-5,-3,3,5,-1,1,2,2,1,-1,1,1,-1,0,0,0,0,0,0,-1
s[42],14,4,2,0,6,-1,1,-1,2,-2,-2,0,2,1,2,-1,-1,-1,0,0,0,0
s[413111],70,10,2,-2,-2,-5,1,-1,1,1,-4,0,0,-1,-2,0,0,0,1,1,0,0
s[4122],56,4,0,4,8,-4,-2,0,-1,1,0,0,0,0,0,1,-1,1,1,-1,0,0
s[412112],90,0,-6,0,-6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,-1,0
s[4114],35,-5,-5,3,3,5,1,1,2,-2,-1,-1,-1,-1,-1,0,0,0,0,0,0,1
s[3221],42,0,2,0,-6,-6,0,2,0,0,0,-2,0,0,2,2,0,-1,0,0,0,0
s[3212],56,-4,0,-4,8,-4,2,0,-1,-1,0,0,0,0,0,1,1,1,-1,-1,0,0
s[312211],70,-10,2,2,-2,-5,-1,-1,1,-1,4,0,0,1,-2,0,0,0,-1,1,0,0
s[312113],64,-16,0,0,0,4,2,0,-2,2,0,0,0,0,0,-1,-1,-1,0,0,1,0
s[3115],21,-9,1,3,-3,6,0,-2,0,0,-3,-1,1,0,1,1,1,1,0,0,0,-1
s[24],14,-4,2,0,6,-1,-1,-1,2,2,2,0,-2,-1,2,-1,1,-1,0,0,0,0
s[2312],28,-10,4,-2,-4,1,-1,1,1,-1,2,0,2,-1,0,-2,0,1,1,-1,0,0
s[2214],20,-10,4,-2,4,5,-1,1,-1,-1,-2,0,-2,1,0,0,0,0,1,1,-1,0
s[2116],7,-5,3,-1,-1,4,-2,0,1,1,-3,1,1,0,-1,2,0,-1,-1,-1,0,1
s[18],1,-1,1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,1,-1
