Unnamed: 0_level_0,[19],[2117],[2215],[2313],[2411],[3116],[312114],[312212],[3123],[3213],[322111],[33],[4115],[412113],[412211],[413112],[413121],[4211],[5114],[512112],[5122],[513111],[5141],[6113],[612111],[6131],[7112],[7121],[8111],[91]
#,1,36,378,1260,945,168,2520,7560,2520,3360,10080,2240,756,7560,11340,15120,15120,11340,3024,18144,9072,24192,18144,10080,30240,20160,25920,25920,45360,40320
s[91],1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s[8111],8,6,4,2,0,5,3,1,-1,2,0,-1,4,2,0,1,-1,0,3,1,-1,0,-1,2,0,-1,1,-1,0,-1
s[7121],27,15,7,3,3,9,3,1,3,0,0,0,5,1,1,-1,1,-1,2,0,2,-1,0,0,0,0,-1,1,-1,0
s[7112],28,14,4,-2,-4,10,2,-2,-2,1,-1,1,6,0,-2,0,0,0,3,-1,-1,0,1,1,-1,1,0,0,0,1
s[6131],48,20,8,4,0,6,2,2,-2,0,2,3,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,0
s[612111],105,35,5,-1,1,15,-1,-1,-1,-3,-1,-3,5,-1,1,-1,-1,1,0,0,0,0,0,-1,1,-1,0,0,1,0
s[6113],56,14,-4,-6,0,11,-1,-1,3,2,2,2,4,-2,0,1,1,0,1,-1,1,1,-1,0,0,0,0,0,0,-1
s[5141],42,14,6,2,2,0,2,0,2,3,-1,-3,-4,0,0,2,0,2,-3,-1,1,0,1,-1,-1,-1,0,0,0,0
s[513111],162,36,6,0,-6,0,0,0,0,0,0,0,-6,0,-2,0,0,-2,-3,1,1,0,-1,0,0,0,1,1,0,0
s[5122],120,20,0,4,8,0,-4,0,4,-3,-1,3,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0
s[512112],189,21,-11,-3,-3,9,-3,1,-3,0,0,0,1,1,1,1,1,1,-1,1,-1,-1,1,0,0,0,0,0,-1,0
s[5114],70,0,-10,0,6,10,0,2,0,4,0,-2,0,-2,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,1
s[4211],84,14,4,-2,4,-6,2,-2,-2,3,-1,3,-6,0,2,0,0,0,-1,-1,-1,-1,-1,1,1,1,0,0,0,0
s[413121],168,14,4,2,0,-15,-1,1,-1,0,2,-3,-4,-2,0,-1,1,0,3,-1,-1,0,1,2,0,-1,0,0,0,0
s[413112],216,6,-4,-6,0,-9,3,-1,3,0,0,0,-4,2,0,-1,-1,0,1,1,1,1,1,0,0,0,-1,-1,0,0
s[412211],216,-6,-4,6,0,-9,-3,-1,-3,0,0,0,4,2,0,1,-1,0,1,-1,1,1,-1,0,0,0,-1,1,0,0
s[412113],189,-21,-11,3,-3,9,3,1,3,0,0,0,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,0,0,0,0,1,0
s[4115],56,-14,-4,6,0,11,1,-1,-3,2,-2,2,-4,-2,0,-1,1,0,1,1,1,1,1,0,0,0,0,0,0,-1
s[33],42,0,2,0,-6,-6,0,2,0,0,0,6,0,-2,0,0,-2,2,2,0,2,-1,0,0,0,0,0,0,0,0
s[322111],168,-14,4,-2,0,-15,1,1,1,0,-2,-3,4,-2,0,1,1,0,3,1,-1,0,-1,-2,0,1,0,0,0,0
s[3213],120,-20,0,-4,8,0,4,0,-4,-3,1,3,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,0,0
s[3123],84,-14,4,2,4,-6,-2,-2,2,3,1,3,6,0,-2,0,0,0,-1,1,-1,-1,1,-1,1,-1,0,0,0,0
s[312212],162,-36,6,0,-6,0,0,0,0,0,0,0,6,0,2,0,0,-2,-3,-1,1,0,1,0,0,0,1,-1,0,0
s[312114],105,-35,5,1,1,15,1,-1,1,-3,1,-3,-5,-1,-1,1,-1,1,0,0,0,0,0,1,1,1,0,0,-1,0
s[3116],28,-14,4,2,-4,10,-2,-2,2,1,1,1,-6,0,2,0,0,0,3,1,-1,0,-1,-1,-1,-1,0,0,0,1
s[2411],42,-14,6,-2,2,0,-2,0,-2,3,1,-3,4,0,0,-2,0,2,-3,1,1,0,-1,1,-1,1,0,0,0,0
s[2313],48,-20,8,-4,0,6,-2,2,2,0,-2,3,0,0,0,0,0,0,-2,0,-2,1,0,2,0,-1,-1,1,0,0
s[2215],27,-15,7,-3,3,9,-3,1,-3,0,0,0,-5,1,-1,1,1,-1,2,0,2,-1,0,0,0,0,-1,-1,1,0
s[2117],8,-6,4,-2,0,5,-3,1,1,2,0,-1,-4,2,0,-1,-1,0,3,-1,-1,0,1,-2,0,1,1,1,0,-1
s[19],1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,1
